step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
69,-2.778316,0.926444,-2.493429,-0.488687,-5.081197,-4.194463,-1.375421,-0.488687,-1.807281,-3.900080,-0.511365,1.556633,0.147112,0.000000,-0.848979,-2.645441,1.596380,2.421700,-3.197763,2.176398,-0.961089,1.269657,-1.480425
70,-2.795919,0.816305,-2.496446,-0.544730,-4.626274,-3.809948,-1.361056,-0.544730,-1.517780,-3.601808,-0.635807,1.591837,0.367391,0.000000,-0.810140,-2.429978,1.454431,2.320894,-3.083940,1.760885,-1.047742,1.391209,-1.482663
71,-2.808689,0.714473,-2.516573,-0.613004,-4.236139,-3.470895,-1.378248,-0.613004,-1.297627,-3.350241,-0.739799,1.617378,0.571054,0.000000,-0.760718,-2.258720,1.386607,2.180753,-3.022463,1.294609,-1.086559,1.506182,-1.484089
72,-2.833716,0.597266,-2.545862,-0.734777,-3.788978,-3.123842,-1.399913,-0.734777,-1.065726,-3.081346,-0.853201,1.667432,0.805467,0.000000,-0.677090,-2.072306,1.335404,2.008631,-2.963239,0.737819,-1.108520,1.635233,-1.460708
73,-2.844316,0.480560,-2.575242,-0.860188,-3.405162,-2.782427,-1.482923,-0.860188,-0.865875,-2.775668,-0.997766,1.688632,1.038881,0.000000,-0.623638,-1.888008,1.258607,1.824924,-2.874461,0.274955,-1.135802,1.786342,-1.474465
74,-2.861812,0.373735,-2.529710,-1.012427,-3.060121,-2.507369,-1.565179,-1.012427,-0.618579,-2.500329,-1.238050,1.723624,1.252529,0.000000,-0.639240,-1.598652,0.941419,1.858504,-2.652822,0.266860,-1.340013,1.909599,-1.334279
75,-2.871297,0.243864,-2.572532,-1.208401,-2.698667,-2.183856,-1.723212,-1.208401,-0.456522,-2.183856,-1.427939,1.742594,1.512273,0.000000,-0.572590,-1.410046,0.879298,1.742594,-2.487727,0.000000,-1.341893,2.097875,-1.353224
76,-2.882362,0.132306,-2.490125,-1.408954,-2.408733,-1.938180,-1.879508,-1.408954,-0.258096,-1.938180,-1.748021,1.764723,1.735387,0.000000,-0.644887,-1.051905,0.445440,1.764723,-2.264613,0.000000,-1.658583,2.175129,-0.991865
77,-2.884901,-0.005404,-2.503513,-1.671387,-2.110168,-1.649770,-2.131784,-1.671387,-0.133910,-1.649770,-2.043681,1.769801,2.010808,0.000000,-0.623716,-0.797884,0.269374,1.769801,-1.989192,0.000000,-1.753372,2.364405,-0.873700
78,-2.883083,-0.078124,-2.559446,-1.819688,-1.974858,-1.507191,-2.287355,-1.819688,-0.095244,-1.507191,-2.171639,1.766166,2.156248,0.000000,-0.563265,-0.744114,0.311853,1.766166,-1.843752,0.000000,-1.665553,2.530314,-1.030478
