step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
53,-2.943754,0.051847,-2.327882,-1.667166,-2.099537,-1.874553,-1.892151,-1.667166,-0.119615,-1.861033,-1.890942,1.887508,1.896307,0.000000,-0.738880,-0.650012,-0.090615,2.047174,-1.934720,0.327414,-2.055475,1.956647,-0.117795
54,-2.948707,0.019903,-2.320610,-1.738135,-2.022919,-1.817747,-1.943307,-1.738135,-0.097239,-1.807778,-1.943307,1.897414,1.960194,0.000000,-0.739581,-0.576174,-0.148573,2.031959,-1.895328,0.274289,-2.102586,1.960194,0.000000
55,-2.957961,-0.001331,-2.324016,-1.797853,-1.960685,-1.792529,-1.966009,-1.797853,-0.078155,-1.787095,-1.966009,1.915922,2.002662,0.000000,-0.716096,-0.538357,-0.154154,2.015520,-1.891115,0.201223,-2.084078,2.002662,0.000000
56,-2.965309,-0.021170,-2.323499,-1.852110,-1.906193,-1.767430,-1.990873,-1.852110,-0.062749,-1.764425,-1.990873,1.930618,2.042340,0.000000,-0.702154,-0.497972,-0.172043,2.008162,-1.874873,0.155818,-2.069382,2.042340,0.000000
57,-2.971326,-0.035076,-2.332868,-1.892355,-1.866750,-1.752052,-2.007053,-1.892355,-0.050246,-1.751499,-2.007053,1.942651,2.070151,0.000000,-0.676506,-0.483034,-0.155892,1.986824,-1.883565,0.087579,-2.057349,2.070151,0.000000
58,-2.975740,-0.052428,-2.334261,-1.937172,-1.824503,-1.727461,-2.034214,-1.937172,-0.038959,-1.727461,-2.034214,1.951479,2.104856,0.000000,-0.665664,-0.450255,-0.169587,1.951479,-1.895144,0.000000,-2.048521,2.104856,0.000000
59,-2.977595,-0.064415,-2.340554,-1.966171,-1.798131,-1.708510,-2.055793,-1.966171,-0.031374,-1.708510,-2.055793,1.955189,2.128831,0.000000,-0.652889,-0.435010,-0.166076,1.955189,-1.871169,0.000000,-2.044811,2.128831,0.000000
60,-2.979216,-0.082043,-2.338990,-2.007183,-1.762144,-1.679010,-2.090317,-2.007183,-0.023258,-1.679010,-2.090317,1.958433,2.164087,0.000000,-0.651893,-0.397579,-0.192567,1.958433,-1.835913,0.000000,-2.041567,2.164087,0.000000
61,-2.977975,-0.095090,-2.344920,-2.033157,-1.740897,-1.652797,-2.121257,-2.033157,-0.017840,-1.652797,-2.121257,1.955950,2.190180,0.000000,-0.645871,-0.379752,-0.196339,1.955950,-1.809820,0.000000,-2.044050,2.190180,0.000000
62,-2.977990,-0.118571,-2.340813,-2.085166,-1.698921,-1.610882,-2.173205,-2.085166,-0.010428,-1.610882,-2.173205,1.955980,2.237142,0.000000,-0.651725,-0.327060,-0.240191,1.955980,-1.762858,0.000000,-2.044020,2.237142,0.000000
